benchmark,,,l1Accesses,l1misses,l1missrate,l2accesses,l2misses,l2missrate,,,IPC
ammp,,default,15474320,1716940,0.1110,1958265,1718342,0.8775,,,0.6764
applu,,default,16741871,801188,0.0479,2372687,390900,0.1647,,,1.4078
apsi,,default,22446689,3809628,0.1697,8432418,1887498,0.2238,,,1.9157
art,,default,18635830,7735708,0.4151,9090178,6663846,0.7331,,,0.5342
bzip,,default,16792391,12648,0.0008,18754,6363,0.3393,,,2.7831
crafty,,default,19506853,512871,0.0263,3058957,31796,0.0104,,,1.2551
equake,,default,18071117,12229,0.0007,1305528,3834,0.0029,,,1.7858
fma3d,,default,9571713,12280,0.0013,1009113,505,0.0005,,,2.0198
galgel,,default,2520481,19868,0.0079,39249,4350,0.1108,,,1.4849
gap,,default,30543749,2717973,0.0890,5774283,1347446,0.2334,,,2.0311
gcc,,default,22929582,383685,0.0167,2420733,114150,0.0472,,,1.2435
gzip,,default,17107377,645128,0.0377,1542271,23882,0.0155,,,1.7456
lucas,,default,9473688,65931,0.0070,131378,32986,0.2511,,,1.8810
mcf,,default,41071424,3571430,0.0870,7142352,1785719,0.2500,,,2.1538
mesa,,default,17942484,2238,0.0001,891698,1247,0.0014,,,1.8947
mgrid,,default,18355711,1594761,0.0869,1829345,583340,0.3189,,,1.6248
parser,,default,23793533,124239,0.0052,190088,50303,0.2646,,,1.6438
swim,,default,12164457,128200,0.0105,254101,67059,0.2639,,,1.7693
twolf,,default,17695033,730986,0.0413,1994042,5473,0.0027,,,1.5067
vortex,,default,22240673,427497,0.0192,2841104,98092,0.0345,,,1.4103
